"rango_edad","estatura_m","sexo","peso_lbs","curso"
"18 a 22","1.62","Femenino","114","2"
"18 a 22","1.9","Masculino","210","2"
"18 a 22","1.75","Masculino","133","2"
"18 a 22","1.6","Femenino","130","2"
"18 a 22","1.75","Masculino","155","2"
"18 a 22","1.77","Masculino","165","2"
"18 a 22","1.82","Masculino","186","2"
"18 a 22","1.65","Masculino","135","2"
"18 a 22","1.64","Femenino","164","2"
"18 a 22","1.7","Masculino","175","2"
"18 a 22","1.52","Femenino","106","2"
"18 a 22","1.51","Femenino","130","2"
"18 a 22","1.67","Femenino","127","2"
"18 a 22","1.74","Femenino","144","2"
"18 a 22","1.65","Femenino","145","1"
"18 a 22","1.7","Masculino","140","1"
"18 a 22","1.55","Femenino","110","2"
"18 a 22","1.73","Masculino","130","2"
"18 a 22","1.64","Femenino","115","2"
"18 a 22","1.78","Masculino","201","1"
"18 a 22","1.59","Femenino","140","1"
"18 a 22","1.86","Masculino","188","2"
"18 a 22","1.75","Masculino","176","2"
"18 a 22","1.73","Femenino","150","2"
"18 a 22","1.7","Masculino","160","2"
"18 a 22","1.65","Femenino","115","1"
"18 a 22","1.74","Masculino","168","1"
"18 a 22","1.57","Femenino","142","2"
"18 a 22","1.6","Femenino","100","2"
"18 a 22","1.55","Femenino","115","1"
"18 a 22","1.77","Masculino","157","2"
"18 a 22","1.57","Femenino","145","2"
"Menos de 18","1.69","Femenino","140","1"
"Menos de 18","1.63","Femenino","100","1"
"18 a 22","1.69","Masculino","155","1"
"18 a 22","1.78","Masculino","155","1"
"18 a 22","1.7","Masculino","174","1"
"18 a 22","1.61","Masculino","120","1"
"18 a 22","1.73","Masculino","156","1"
"Menos de 18","1.64","Masculino","129","1"
"18 a 22","1.68","Masculino","66","1"
"18 a 22","1.75","Masculino","170","1"
"18 a 22","1.84","Masculino","170","1"
"18 a 22","1.7","Masculino","150","1"
"18 a 22","1.76","Masculino","143","1"
"18 a 22","1.84","Masculino","184","1"
"18 a 22","1.84","Masculino","260","1"
"18 a 22","1.74","Masculino","166","1"
"18 a 22","1.66","Femenino","143","2"
"18 a 22","1.8","Masculino","150","1"
"18 a 22","1.77","Masculino","130","2"
"18 a 22","1.57","Femenino","125","2"
"18 a 22","1.72","Masculino","132","1"
"18 a 22","1.7","Masculino","165","1"
"18 a 22","1.8","Masculino","150","1"
"Menos de 18","1.73","Masculino","210","1"
"18 a 22","1.8","Masculino","150","1"
"18 a 22","1.74","Masculino","157","1"
"18 a 22","1.65","Femenino","160","1"
"18 a 22","1.65","Masculino","128","2"
"18 a 22","1.5","Femenino","164","1"
"18 a 22","1.83","Masculino","185","2"
"18 a 22","1.77","Masculino","175","2"
"18 a 22","1.8","Masculino","176","2"
"18 a 22","1.79","Masculino","170","2"
"18 a 22","1.71","Masculino","248","2"
"18 a 22","1.59","Femenino","160","2"
"18 a 22","1.6","Femenino","126","2"
"18 a 22","1.68","Femenino","130","2"
"18 a 22","1.68","Masculino","130","2"
"Mas de 22","1.8","Masculino","190","2"
"18 a 22","1.62","Femenino","156","2"
"18 a 22","1.72","Femenino","150","2"
"18 a 22","1.58","Masculino","138","1"
"18 a 22","1.63","Femenino","154","2"
"18 a 22","1.78","Masculino","137","2"
"18 a 22","1.52","Femenino","121","2"
"18 a 22","1.8","Masculino","175","2"
"18 a 22","1.52","Femenino","122","2"
"18 a 22","1.69","Masculino","135","2"
"18 a 22","1.56","Femenino","130","2"
"18 a 22","1.6","Femenino","153","1"
"18 a 22","1.9","Masculino","210","1"
"18 a 22","1.58","Femenino","110","3"
"18 a 22","1.54","Femenino","112","3"
"18 a 22","1.72","Masculino","135","1"
"18 a 22","1.78","Masculino","155","3"
"18 a 22","1.79","Masculino","190","3"
"18 a 22","1.67","Femenino","155","3"
"18 a 22","1.5","Masculino","180","3"
"Mas de 22","1.7","Masculino","170","3"
"18 a 22","1.66","Femenino","135","3"
"18 a 22","1.55","Femenino","190","3"
"Mas de 22","1.88","Masculino","160","3"
"18 a 22","1.56","Femenino","125","3"
"Menos de 18","1.78","Femenino","167","3"
"18 a 22","1.76","Masculino","180","3"
"18 a 22","1.77","Masculino","189","3"
"18 a 22","1.67","Femenino","187","3"
"18 a 22","1.76","Masculino","180","3"
"18 a 22","1.9","Masculino","176","3"
"18 a 22","1.73","Femenino","154","3"
"Mas de 22","1.73","Masculino","176","3"
"18 a 22","1.56","Femenino","160","3"
"18 a 22","1.78","Masculino","190","3"
"18 a 22","1.56","Femenino","140","3"
"18 a 22","1.56","Femenino","144","3"
"18 a 22","1.45","Femenino","134","3"
"Mas de 22","1.75","Masculino","160","3"
"18 a 22","1.67","Masculino","160","3"
"18 a 22","1.7","Masculino","178","3"
